regional;idade_cliente;plan_type;Qnt_abandono;sum_recharge;recharge_frequency;rec_online_10;rec_online_35_b5;rec_online_15;sos_rec_5;rec_online_20_b2;chip_pre_rec_10;rec_online_13;rec_online_50_b8;rec_online_30_b4;rec_online_40_b6;sum_services;services_frequency;inter_avulsa;clube;entretenimento;pct_internet_mensal;prezao_diario;prezao_mensal;prezao_semanal;servicos_operadora;venda
0.25;0.27;1.0;0.06666666666666667;0.017652250661959402;0.0;0.0;0.0;0.0;0.0;0.034482758620689655;0.0;0.0;0.0;0.0;0.0;0.013757537949677687;0.024608501118568233;0.0;0.0;0.0;0.0;0.08208955223880597;0.0;0.0;0.0;1
1.0;0.42000000000000004;0.6666666666666666;0.0;0.008826125330979701;0.0;0.030303030303030304;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00330214181742566;0.0022371364653243847;0.0;0.0;0.0;0.0;0.014925373134328358;0.0;0.0;0.0;1
0.125;0.34;1.0;0.0;0.06619593998234775;0.045454545454545456;0.12121212121212122;0.0;0.027777777777777776;0.0;0.034482758620689655;0.0;0.0;0.0;0.0;0.0;0.04714493657725099;0.053691275167785234;0.006711409395973154;0.0;0.0;0.0;0.15671641791044777;0.0;0.02564102564102564;0.0;1
0.375;0.51;1.0;0.2;0.035304501323918804;0.02727272727272727;0.12121212121212122;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.017458931170721562;0.020134228187919462;0.013422818791946308;0.01935483870967742;0.0;0.0;0.0;0.0;0.02564102564102564;0.0;0
0.125;0.01;0.0;0.2;0.01147396293027361;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.023809523809523808;0.0;0.0;0.0;0.0034601788313578705;0.0044742729306487695;0.006711409395973154;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
0.875;0.01;1.0;0.06666666666666667;0.0529567519858782;0.02727272727272727;0.030303030303030304;0.0;0.05555555555555555;0.0;0.034482758620689655;0.0;0.0;0.0;0.0;0.0;0.01734248284466625;0.029082774049217004;0.03131991051454139;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
0.625;0.35000000000000003;0.0;0.06666666666666667;0.023742277140335392;0.00909090909090909;0.0;0.0;0.027777777777777776;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0011478477854023703;0.0;0.0022371364653243847;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
1.0;0.32;1.0;0.0;0.01323918799646955;0.0;0.0;0.0;0.027777777777777776;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012459970887918486;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02564102564102564;0.0;0
1.0;0.37000000000000005;0.0;0.06666666666666667;0.0264783759929391;0.00909090909090909;0.0;0.0;0.05555555555555555;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0012310251611561654;0.0;0.0022371364653243847;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
0.75;0.38;1.0;0.06666666666666667;0.057369814651368055;0.03636363636363636;0.06060606060606061;0.0;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.036024121438968604;0.026845637583892617;0.015659955257270694;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.05555555555555555;0
0.25;0.01;1.0;0.06666666666666667;0.0264783759929391;0.01818181818181818;0.030303030303030304;0.0;0.027777777777777776;0.020833333333333332;0.0;0.0;0.0;0.0;0.0;0.0;0.009049698482012892;0.015659955257270694;0.015659955257270694;0.0;0.0;0.0;0.0;0.0;0.0;0.027777777777777776;1
1.0;0.01;1.0;0.2;0.02206531332744925;0.00909090909090909;0.0;0.0;0.0;0.020833333333333332;0.034482758620689655;0.0;0.0;0.0;0.0;0.0;0.004192139737991266;0.006711409395973154;0.0;0.0064516129032258064;0.0;0.0;0.014925373134328358;0.0;0.0;0.027777777777777776;1
0.75;0.34;1.0;0.0;0.0441306266548985;0.01818181818181818;0.0;0.0;0.05555555555555555;0.0;0.034482758620689655;0.0;0.0;0.0;0.0;0.0;0.03944271158244957;0.01342281879194631;0.0;0.0;0.0;0.0;0.03731343283582089;0.1111111111111111;0.0;0.0;0
1.0;0.5800000000000001;1.0;0.06666666666666667;0.3442188879082083;0.20909090909090908;0.0;0.0;0.5;0.0;0.20689655172413793;0.0;0.0;0.0;0.0;0.0;0.33535454356415056;0.13646532438478745;0.07606263982102908;0.0;0.0;0.0;0.0;0.0;0.6923076923076923;0.027777777777777776;0
0.875;0.01;1.0;0.2;0.0529567519858782;0.02727272727272727;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05461426491994178;0.07158836689038031;0.0738255033557047;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
0.25;0.35000000000000003;1.0;0.13333333333333336;0.06619593998234775;0.045454545454545456;0.030303030303030304;0.0;0.0;0.0625;0.034482758620689655;0.0;0.0;0.0;0.08333333333333333;0.0;0.05414015387814514;0.09619686800894854;0.09619686800894854;0.0;0.0;0.0;0.0;0.0;0.0;0.027777777777777776;0
0.0;0.29000000000000004;0.0;0.33333333333333337;0.07060900264783761;0.054545454545454536;0.06060606060606061;0.0;0.08333333333333333;0.020833333333333332;0.0;1.0;0.0;0.0;0.0;0.0;0.055229777500519855;0.040268456375838924;0.0044742729306487695;0.0;0.0;0.0;0.07462686567164178;0.0;0.10256410256410256;0.08333333333333333;1
1.0;0.01;1.0;0.0;0.0529567519858782;0.02727272727272727;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021617799958411312;0.029082774049217004;0.029082774049217;0.0;0.0;0.0;0.0;0.0;0.0;0.027777777777777776;0
0.0;0.01;1.0;0.2;0.017652250661959402;0.00909090909090909;0.0;0.0;0.027777777777777776;0.020833333333333332;0.0;0.0;0.0;0.0;0.0;0.0;0.00495737159492618;0.0044742729306487695;0.0;0.0;0.0;0.0;0.022388059701492536;0.0;0.0;0.0;1
